license,count_listings,closest_commprop_idx,closest_commprop_dist_ft,commercial_props,resi/condo_props,agr/ind/TE_props,n_props_searched,accommodations,geometry,violator_prob_rating,license_num,license_number_official,license_status_active,license_status,license_category,license_active,license_max_bedrooms,license_max_guests,exceeds_max_guests,exceeds_max_rooms,avg_distance_ft,dispersal_factor,centroid_confidence,max_distance_ft,zoom_factor,marker_radius,best_guess_prop_adrs,best_guess_prop_unit_n,best_guess_prop_num_floors,best_guess_prop_own_occ,best_guess_prop_lu
STR-392105,3.0,39099.0,81.0,14.0,35.0,1.0,50.0,6,POINT (42.28403666666667 -71.05623999999999),54.0,392105,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,249.4268544464745,1.5231668796674729,42.0,334.1625860616022,1.814615745616984,5.545177444479562,"761 Adams St, Dorchester",1,1.0,0,Commercial
STR-420982,2.0,123621.0,75.0,4.0,45.0,1.0,50.0,7,POINT (42.34503 -71.06965),54.0,420982,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,212.71136521655356,1.3646263439551714,43.0,212.71171152279737,1.364627964392919,4.394449154672439,"512 518 Tremont St, South End",1,,0,Commercial condominium
STR-401218,2.0,158879.0,49.0,6.0,42.0,2.0,50.0,6,POINT (42.334335 -71.05492000000001),53.0,401218,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,351.8067589407891,1.865920481944558,38.0,351.8067869171232,1.865920561241035,4.394449154672439,"159 Old Colony Av, South Boston",1,1.0,0,Commercial
STR402530,2.0,102938.0,76.0,5.0,41.0,4.0,50.0,4,POINT (42.360675 -71.12629000000001),52.0,402530,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,184.35778618072723,1.222287936703247,45.0,184.3577917636965,1.2222879668232078,4.394449154672439,"37 W Sorrento St, Allston",1,1.0,0,Commercial
STR-383101,2.0,164060.0,260.0,2.0,46.0,2.0,50.0,4,POINT (42.32476500000001 -71.05861000000002),51.0,383101,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,35.041200854021,-0.4153372477810837,62.0,35.04120119867178,0.0,4.394449154672439,"43 Howell St, Dorchester",5,3.0,0,Mixed use (Residential and Commercial)
STR-407435,2.0,4579.0,89.0,5.0,45.0,0.0,50.0,4,POINT (42.382385 -71.02021000000001),49.0,407435,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,101.27686927717515,0.6276835406191097,51.0,101.2769302535905,0.6276841368086252,4.394449154672439,"1 A1b Curtis St, East Boston",2,1.0,0,Commercial
STR-383106,4.0,90007.0,19.0,5.0,38.0,7.0,50.0,11,POINT (42.3822825 -71.07769),49.0,383106,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,0.0,234.5327998241557,1.4618501811432276,42.0,274.3618958283212,1.6180862173477255,6.437751649736401,"78 88 Cambridge St, Charlestown",1,1.0,0,Commercial
STR-406255,2.0,118344.0,43.0,13.0,35.0,2.0,50.0,8,POINT (42.36373 -71.052025),47.0,406255,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,242.27085896992224,1.494175468550731,42.0,242.2712557088756,1.494177099402167,4.394449154672439,"12 Lewis St, North End",6,4.0,0,Mixed use (Residential and Commercial)
STR-414857,2.0,1552.0,45.0,15.0,33.0,2.0,50.0,4,POINT (42.380115 -71.02777499999999),47.0,414857,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,232.30364261311678,1.4523407923350575,42.0,232.3036465193121,1.4523408090780254,4.394449154672439,"33 Shelby St, East Boston",1,1.5,0,Commercial
STR-391653,2.0,8327.0,42.0,6.0,44.0,0.0,50.0,4,POINT (42.368365 -71.03425),44.0,391653,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,150.95869090776768,1.0236087135663903,47.0,150.95888069989556,1.0236099625374644,4.394449154672439,"113 115 Cottage St, East Boston",1,3.0,0,Mixed use (Residential and Commercial)
STR-413201,2.0,9018.0,25.0,2.0,48.0,0.0,50.0,12,POINT (42.366525 -71.03785999999999),43.0,413201,True,True,Active,Owner-Adjacent Unit,True,5,10,1.0,0.0,93.28444271835028,0.5463161995536892,52.0,93.28444336134008,0.54631620637337,4.394449154672439,"Marginal St, East Boston",21,,0,Mixed use (Residential and Commercial)
Str416603,3.0,23048.0,267.0,1.0,96.0,3.0,100.0,13,POINT (42.31777333333333 -71.05794333333334),41.0,416603,True,True,Active,Limited Share Unit,True,3,6,1.0,0.0,3.455248627043759,-2.5059171320949014,84.0,5.182872984852752,0.0,5.545177444479562,"971 Dorchester Av, Dorchester",4,2.5,1,Mixed use (Residential and Commercial)
STR-397944,3.0,54006.0,1632.0,1.0,792.0,7.0,800.0,8,POINT (42.2779 -71.14423000000002),38.0,397944,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,0.0,-4.0,100.0,0.0,0.0,5.545177444479562,"4640 Washington St, Roslindale",11,1.0,0,Commercial
STR-398117,3.0,32661.0,23.0,15.0,27.0,8.0,50.0,6,POINT (42.30657333333333 -71.06689666666666),37.0,398117,True,True,Active,Owner-Adjacent Unit,True,5,10,0.0,0.0,192.50320342436567,1.2652940674974813,44.0,266.85006750918143,1.5904273743679358,5.545177444479562,"250 252a Bowdoin St, Dorchester",3,1.0,0,Commercial
STR-383892,3.0,102938.0,16.0,7.0,38.0,5.0,50.0,6,POINT (42.36083666666666 -71.12641333333336),32.0,383892,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,166.32517170887422,1.1199390551859354,46.0,249.4877356719485,1.52340995993295,5.545177444479562,"37 W Sorrento St, Allston",1,1.0,0,Commercial
STR-383875,2.0,103621.0,25.0,9.0,40.0,1.0,50.0,4,POINT (42.36255 -71.13060999999999),31.0,383875,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,90.37310145218632,0.514951140313034,52.0,90.37312936196969,0.5149514457615592,4.394449154672439,"209 211 N Harvard St, Allston",2,1.0,0,Commercial
STR-418927,2.0,123705.0,124.0,1.0,49.0,0.0,50.0,6,POINT (42.34412500000001 -71.07013499999999),26.0,418927,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,6.806476764845544,-1.9450462563906261,78.0,6.806477045354297,0.0,4.394449154672439,"51 53 Milford St, South End",6,5.0,0,Mixed use (Residential and Commercial)
STR-398624,3.0,158451.0,223.0,1.0,99.0,0.0,100.0,6,POINT (42.33450999999999 -71.02731666666666),24.0,398624,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,2.403482935622402,-2.7752006998800502,87.0,3.6052244053548512,0.0,5.545177444479562,"908 E Fourth St, South Boston",6,3.0,1,Mixed use (Residential and Commercial)
STR-413140,4.0,158516.0,162.0,14.0,33.0,3.0,50.0,8,POINT (42.33034 -71.05802),24.0,413140,True,True,Active,Limited Share Unit,True,3,6,1.0,1.0,0.0,-4.0,100.0,0.0,0.0,6.437751649736401,"1 3 Wadleigh Pl, South Boston",2,3.0,0,Commercial
STR-398249,4.0,4254.0,90.0,5.0,36.0,9.0,50.0,8,POINT (42.3813725 -71.0231125),21.0,398249,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,7.377266810871163,-1.8744782949271417,78.0,23.276176045128967,0.0,6.437751649736401,"452 Bennington St, East Boston",1,1.0,0,Commercial
STR-408486,2.0,17536.0,464.0,2.0,244.0,4.0,250.0,2,POINT (42.29899 -71.11176),19.0,408486,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,0.0,-4.0,100.0,0.0,0.0,4.394449154672439,"10 Tower St, Jamaica Plain",1,2.0,0,Mixed use (Residential and Commercial)
STR-383350,3.0,79061.0,66.0,10.0,39.0,1.0,50.0,6,POINT (42.37753000000001 -71.06639666666666),16.0,383350,True,True,Active,Home Share Unit,True,5,10,0.0,0.0,8.235598251053863,-1.7769346076073678,76.0,12.299864286397318,0.0,5.545177444479562,"277 279 Main St, Charlestown",5,3.0,0,Mixed use (Residential and Commercial)
STR-406565,3.0,128237.0,104.0,6.0,44.0,0.0,50.0,6,POINT (42.34232 -71.07594666666667),3.0,406565,True,True,Active,Limited Share Unit,True,3,6,0.0,0.0,1.2015927690631714,-3.2108189156493188,92.0,1.8023891516737451,0.0,5.545177444479562,"661 661a Tremont St, South End",5,5.0,0,Mixed use (Residential and Commercial)
